name,log2FC,Pval,FDR,comparison,cell_type,label,diffaccessible,dalabel
LOC105377448,-0.0319065151271775,0.116442763784231,0.457631465902145,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ELF2,0.0274431284755352,0.374890939872949,0.742128905905368,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MGARP,-0.0149616062388329,0.611545112964267,0.876091107089906,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
NDUFC1,0.00194678299064676,0.872424664487778,0.968799135266528,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
NAA15,0.00677645891256886,0.79080755223235,0.941880846888168,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SETD7,-0.0104409294932979,0.467979949143199,0.79878079099447,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MAML3,-0.0754104950360103,0.0317431518185899,0.237598441755913,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SCOC,-0.0582904205131125,0.173646694433652,0.543495131247737,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
RNF150,0.0660857293534786,0.0829969640718466,0.388926729483817,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
INPP4B,-0.0272226143021292,0.113018032351577,0.452072129406306,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GAB1,-0.0226492438466476,0.424367268731088,0.773570698028387,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MIR3139,0.00567193224079301,0.789261889367877,0.941727585452664,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SMARCA5-AS1,0.10227519934613,0.0278225204657224,0.220334158370669,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SMAD1,0.078199395522272,0.109212653769938,0.44527559536679,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ZNF827,0.0655494259258543,0.0514293724661714,0.308885119916945,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SLC10A7,0.0344139947847947,0.470726261100942,0.79969785881262,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ARHGAP10,0.0141732124022638,0.762938979654111,0.933196538468238,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
NR3C2,0.0146627261234899,0.86285071039901,0.96813521223432,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
DCLK2,-0.0035490094684421,0.742171814276504,0.927019503218217,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LRBA,0.00946086568177878,0.776353580810679,0.93850050103164,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
