"","hgnc_symbol","gene_biotype"
"573","LATS2","protein_coding"
"574","CIDEB","protein_coding"
"575","PKNOX1","protein_coding"
"576","CENPJ","protein_coding"
"577","LTB4R2","protein_coding"
"578","CFAP61","protein_coding"
"579","LTB4R","protein_coding"
"580","TWSG1","protein_coding"
"581","GPS2","protein_coding"
"582","ADCY4","protein_coding"
"583","DOK6","protein_coding"
"584","CBS","protein_coding"
"585","KIAA1328","protein_coding"
"586","SHISA2","protein_coding"
"587","RXFP2","protein_coding"
"588","SLC17A9","protein_coding"
"589","FRY","protein_coding"
"590","NEURL4","protein_coding"
"591","PIAS2","protein_coding"
"592","PSMA7","protein_coding"
"593","MED15","protein_coding"
"594","RIPK3","protein_coding"
"595","RBBP8NL","protein_coding"
"596","CST3","protein_coding"
"597","HDHD2","protein_coding"
"598","GID8","protein_coding"
"599","NFATC4","protein_coding"
"600","U2AF1","protein_coding"
"601","PMEPA1","protein_coding"
"602","PDS5B","protein_coding"
"603","IER3IP1","protein_coding"
"604","SKOR2","protein_coding"
"605","EIF2S2","protein_coding"
"606","TGIF1","protein_coding"
"607","SOX18","protein_coding"
"608","ACAP1","protein_coding"
"609","SETD4","protein_coding"
"610","ACSS1","protein_coding"
"611","UTP14C","protein_coding"
"612","INTS6","protein_coding"
"613","TAF4B","protein_coding"
"614","KCTD11","protein_coding"
"615","TMEM95","protein_coding"
"616","DOK5","protein_coding"
"617","B4GALT5","protein_coding"
"618","PMAIP1","protein_coding"
"619","DSG4","protein_coding"
"620","OSM","protein_coding"
"621","SALL4","protein_coding"
"622","NCF4","protein_coding"
"623","SLC19A1","protein_coding"
"624","SCP2D1","protein_coding"
"625","BHLHE23","protein_coding"
"626","CDH4","protein_coding"
"627","CCDC70","protein_coding"
"628","GPR18","protein_coding"
"629","DSG3","protein_coding"
"630","MTUS2","protein_coding"
"631","KAT6B","protein_coding"
"632","TTR","protein_coding"
"633","COL18A1","protein_coding"
"634","TNFSF13B","protein_coding"
"635","CDH2","protein_coding"
"636","NDRG3","protein_coding"
"637","SLC16A1","protein_coding"
"638","RNF6","protein_coding"
"639","CACNA1I","protein_coding"
"640","ATP8A2","protein_coding"
"641","RPL17-C18orf32","protein_coding"
"642","RPS21","protein_coding"
"643","SS18L1","protein_coding"
"644","LIPG","protein_coding"
"645","SACS","protein_coding"
"646","NFATC2","protein_coding"
"647","DYM","protein_coding"
"648","FAM3B","protein_coding"
"649","MEX3C","protein_coding"
"650","TEX29","protein_coding"
"651","KCTD12","protein_coding"
"652","CLN5","protein_coding"
"653","ADAMTS1","protein_coding"
"654","SYCP2","protein_coding"
"655","ISX","protein_coding"
"656","TCF4","protein_coding"
"657","FBXL3","protein_coding"
"658","ENTHD1","protein_coding"
"659","LIF","protein_coding"
"660","SERPINE3","protein_coding"
"661","CBX7","protein_coding"
"662","KBTBD4","protein_coding"
"663","METTL21C","protein_coding"
"664","MIS18A","protein_coding"
"665","ERCC5","protein_coding"
"666","MRAP","protein_coding"
"667","PNPLA3","protein_coding"
"668","FAM180B","protein_coding"
"669","C1QTNF4","protein_coding"
"670","WDR4","protein_coding"
"671","AGBL2","protein_coding"
"672","LAMA5","protein_coding"
"673","EFCAB6","protein_coding"
